unit                                     | agent_type              | verdict     | block_ts                         | has_relay | decision | reason                                  
1ca4cfd9b943e520bcec838ba1e16889cfe1f452 | citation-checker        | PASS        | 2026-09-10T14:44:42.068745+00:00 | False     | DENY     | no relay artifact exists                
UNBOUND                                  | citation-checker        | UNPARSEABLE | 2026-09-10T07:04:59.251534+00:00 | False     | DENY     | no relay artifact exists                
cookbook_421-tower-chapter               | adversarial-audit       | BLOCK       | 2026-09-08T15:25:21.482601+00:00 | False     | DENY     | no relay artifact exists                
feat_480-487-transport-and-seam-docs     | discipline-test-auditor | BLOCK       | 2026-09-10T14:23:26.279566+00:00 | True      | DENY     | relay `unit_branch` 'feat/480-487-transport-and-seam-docs' slugifies to this BLOCK's own unit but does not resolve under refs/heads/ — `git rev-parse --verify --end-of-options refs/heads/feat/480-487-
feat_480-487-transport-and-seam-docs     | citation-checker        | BLOCK       | 2026-09-10T14:28:21.743481+00:00 | True      | DENY     | relay `unit_branch` 'feat/480-487-transport-and-seam-docs' slugifies to this BLOCK's own unit but does not resolve under refs/heads/ — `git rev-parse --verify --end-of-options refs/heads/feat/480-487-
feat_480-487-transport-and-seam-docs     | adversarial-audit       | BLOCK       | 2026-09-10T14:30:47.357802+00:00 | True      | DENY     | relay `unit_branch` 'feat/480-487-transport-and-seam-docs' slugifies to this BLOCK's own unit but does not resolve under refs/heads/ — `git rev-parse --verify --end-of-options refs/heads/feat/480-487-
feat_480-487-transport-and-seam-docs     | discipline-test-auditor | BLOCK       | 2026-09-10T15:01:40.381501+00:00 | False     | DENY     | no relay artifact exists                
feat_480-487-transport-and-seam-docs     | citation-checker        | BLOCK       | 2026-09-10T15:03:45.597727+00:00 | False     | DENY     | no relay artifact exists                
feat_480-487-transport-and-seam-docs     | adversarial-audit       | BLOCK       | 2026-09-10T15:07:09.610863+00:00 | False     | DENY     | no relay artifact exists                
feat_481-hub-delta                       | acceptance-verifier     | BLOCK       | 2026-09-10T14:49:19.569872+00:00 | True      | DENY     | relay `unit_branch` 'feat/481-hub-delta' slugifies to this BLOCK's own unit but does not resolve under refs/heads/ — `git rev-parse --verify --end-of-options refs/heads/feat/481-hub-delta^{commit}` ex
feat_481-hub-delta                       | adversarial-audit       | BLOCK       | 2026-09-10T14:57:17.193979+00:00 | True      | DENY     | relay `unit_branch` 'feat/481-hub-delta' slugifies to this BLOCK's own unit but does not resolve under refs/heads/ — `git rev-parse --verify --end-of-options refs/heads/feat/481-hub-delta^{commit}` ex
feat_481-hub-delta                       | acceptance-verifier     | PASS        | 2026-09-10T15:33:23.480897+00:00 | False     | DENY     | no relay artifact exists                
feat_481-hub-delta                       | citation-checker        | PASS        | 2026-09-10T15:34:15.938791+00:00 | False     | DENY     | no relay artifact exists                
feat_481-hub-delta                       | adversarial-audit       | BLOCK       | 2026-09-10T15:36:39.316174+00:00 | True      | DENY     | relay `unit_branch` 'feat/481-hub-delta' slugifies to this BLOCK's own unit but does not resolve under refs/heads/ — `git rev-parse --verify --end-of-options refs/heads/feat/481-hub-delta^{commit}` ex
feat_481-hub-delta                       | adversarial-audit       | BLOCK       | 2026-09-10T16:16:57.112542+00:00 | False     | DENY     | no relay artifact exists                
feat_482-compute-tier-substrate          | discipline-test-auditor | PASS        | 2026-09-11T17:45:56.004917+00:00 | False     | DENY     | no relay artifact exists                
feat_482-compute-tier-substrate          | citation-checker        | BLOCK       | 2026-09-11T17:46:37.412687+00:00 | False     | DENY     | no relay artifact exists                
feat_482-compute-tier-substrate          | adversarial-audit       | BLOCK       | 2026-09-11T17:55:21.705010+00:00 | False     | DENY     | no relay artifact exists                
feat_482-dist-data-plane                 | citation-checker        | BLOCK       | 2026-09-11T07:45:40.216748+00:00 | False     | DENY     | no relay artifact exists                
feat_482-dist-data-plane                 | discipline-test-auditor | PASS        | 2026-09-11T07:45:45.106543+00:00 | False     | DENY     | no relay artifact exists                
feat_482-dist-data-plane                 | oracle                  | PASS        | 2026-09-11T07:48:41.074072+00:00 | False     | DENY     | no relay artifact exists                
