
## boundary — cos vs f32 truth, per arm (backward order)
          name           fused           eager          shared   shared_upcast           flash
   boundary.28        0.988507        0.986536        0.985274        0.985370        0.988363
   boundary.27        0.948486        0.977758        0.975396        0.977452        0.979202
   boundary.26        0.957119        0.978424        0.973861        0.976099        0.978160
   boundary.25        0.944086        0.972242        0.965788        0.967393        0.968783
   boundary.24        0.922284        0.968498        0.959876        0.962874        0.953927
   boundary.23        0.923888        0.966263        0.959935        0.954917        0.950030
   boundary.22        0.917403        0.957500        0.952024        0.942429        0.939651
   boundary.21        0.858789        0.957897        0.954553        0.941819        0.937993
   boundary.20        0.860112        0.955647        0.952275        0.937152        0.936398
   boundary.19        0.868080        0.942455        0.947373        0.933130        0.935949
   boundary.18        0.604139        0.437652        0.598227        0.563773        0.667590
   boundary.17        0.713978        0.269202        0.583989        0.676941        0.762904
   boundary.16        0.752717        0.138962        0.627685        0.717748        0.790252
   boundary.15        0.829863       -0.083690        0.729548        0.800886        0.855194
   boundary.14        0.583790        0.128648        0.484002        0.607755        0.746326
   boundary.13        0.512366        0.155580        0.406107        0.530119        0.707666
   boundary.12        0.450486        0.296052        0.218414        0.478372        0.738650
   boundary.11        0.494435        0.357482        0.288001        0.476429        0.708623
   boundary.10        0.578212        0.437209        0.335737        0.526353        0.735496
    boundary.9        0.567398        0.432760        0.338952        0.526756        0.725759
    boundary.8        0.559449        0.427641        0.340482        0.529133        0.715835
    boundary.7        0.555514        0.361822        0.245007        0.515995        0.708339
    boundary.6        0.562212        0.319552        0.196441        0.512269        0.702846
    boundary.5        0.617867        0.276170        0.153176        0.543718        0.720583
    boundary.4        0.745767        0.396396        0.223680        0.661670        0.796429
    boundary.3        0.767436        0.395870        0.212148        0.671972        0.808184
    boundary.2        0.782114        0.392897        0.214095        0.672714        0.808575
    boundary.1        0.768690        0.309781        0.168457        0.643628        0.793168

## qkv — cos vs f32 truth, per arm (backward order)
          name           fused           eager          shared   shared_upcast           flash
        qkv.27        0.727450        0.961799        0.961482        0.969873        0.944302
        qkv.26        0.866277        0.980102        0.873925        0.982783        0.931277
        qkv.25        0.915145        0.977894        0.855605        0.979615        0.939944
        qkv.24        0.712256        0.957781        0.948282        0.962419        0.908334
        qkv.23        0.790802        0.978794        0.947465        0.975704        0.921442
        qkv.22        0.871025        0.967593        0.920493        0.968363        0.937048
        qkv.21        0.499315        0.962488        0.940455        0.960809        0.852227
        qkv.20        0.685130        0.977399        0.899693        0.980815        0.879058
        qkv.19        0.950456        0.978413        0.972230        0.978441        0.976050
        qkv.18        0.795401        0.646901        0.713174        0.789713        0.822673
        qkv.17        0.906644        0.510543        0.694047        0.844096        0.917056
        qkv.16        0.934073        0.382308        0.740258        0.895591        0.929935
        qkv.15        0.912976        0.285270        0.772777        0.885420        0.918486
        qkv.14        0.828441        0.557962        0.643398        0.822480        0.899765
        qkv.13        0.713754        0.557101        0.508874        0.740069        0.894887
        qkv.12        0.648743        0.585487        0.397822        0.687480        0.887248
        qkv.11        0.622271        0.518470        0.421329        0.702302        0.889831
        qkv.10        0.706223        0.611125        0.519102        0.764816        0.931130
         qkv.9        0.603304        0.482360        0.405885        0.549061        0.756576
         qkv.8        0.659262        0.542592        0.385159        0.708327        0.894919
         qkv.7        0.647998        0.454300        0.243593        0.669576        0.861325
         qkv.6        0.561814        0.340826        0.202063        0.562998        0.737833
         qkv.5        0.624393        0.298146        0.161836        0.566304        0.742551
