round4_localize: numpy=no, pure-python fallback

## boundary -- cos vs truth, per arm (backward order)
          name           eager           fused          shared   shared_upcast
   boundary.28        0.986536        0.988507        0.985274        0.985370
   boundary.27        0.977758        0.948493        0.975396        0.977452
   boundary.26        0.978424        0.957120        0.973861        0.976099
   boundary.25        0.972242        0.944079        0.965788        0.967393
   boundary.24        0.968498        0.922272        0.959876        0.962874
   boundary.23        0.966263        0.923867        0.959935        0.954917
   boundary.22        0.957500        0.917404        0.952024        0.942429
   boundary.21        0.957897        0.858783        0.954553        0.941819
   boundary.20        0.955647        0.860086        0.952275        0.937152
   boundary.19        0.942455        0.868056        0.947373        0.933130
   boundary.18        0.437652        0.606178        0.598227        0.563773
   boundary.17        0.269202        0.714876        0.583989        0.676941
   boundary.16        0.138962        0.753507        0.627685        0.717748
   boundary.15       -0.083690        0.830398        0.729548        0.800886
   boundary.14        0.128648        0.585422        0.484002        0.607755
   boundary.13        0.155580        0.513696        0.406107        0.530119
   boundary.12        0.296052        0.451214        0.218414        0.478372
   boundary.11        0.357482        0.495268        0.288001        0.476429
   boundary.10        0.437209        0.579589        0.335737        0.526353
    boundary.9        0.432760        0.568821        0.338952        0.526756
    boundary.8        0.427641        0.560783        0.340482        0.529133
    boundary.7        0.361822        0.557007        0.245007        0.515995
    boundary.6        0.319552        0.563881        0.196441        0.512269
    boundary.5        0.276170        0.619824        0.153176        0.543718
    boundary.4        0.396396        0.747792        0.223680        0.661670
    boundary.3        0.395870        0.769321        0.212148        0.671972
    boundary.2        0.392897        0.783938        0.214095        0.672714
    boundary.1        0.309781        0.770489        0.168457        0.643628

## mlp_input -- cos vs truth, per arm (backward order)
          name           eager           fused          shared   shared_upcast
  mlp_input.27        0.982933        0.982524        0.979138        0.980320
  mlp_input.26        0.978869        0.964666        0.974250        0.976370
  mlp_input.25        0.973387        0.953623        0.966796        0.968454
  mlp_input.24        0.966279        0.941690        0.958987        0.958433
  mlp_input.23        0.965434        0.927598        0.958453        0.955465
  mlp_input.22        0.957787        0.918604        0.951685        0.941786
  mlp_input.21        0.955985        0.925323        0.952283        0.940081
  mlp_input.20        0.956108        0.879281        0.952670        0.937426
  mlp_input.19        0.940704        0.857730        0.946418        0.931154
  mlp_input.18        0.398517        0.588336        0.594801        0.543067
  mlp_input.17        0.378382        0.681325        0.573657        0.647594
  mlp_input.16        0.206880        0.738759        0.609593        0.702105
  mlp_input.15        0.148149        0.728289        0.591794        0.689618
  mlp_input.14        0.098458        0.582997        0.486980        0.606500
  mlp_input.13        0.145123        0.505764        0.408523        0.524777
  mlp_input.12        0.141860        0.356204        0.134609        0.420947
  mlp_input.11        0.357775        0.485855        0.280461        0.469011
  mlp_input.10        0.435147        0.577802        0.333048        0.522715
   mlp_input.9        0.432160        0.569582        0.337947        0.519901
   mlp_input.8        0.422667        0.556717        0.334193        0.523860
   mlp_input.7        0.353694        0.556974        0.234692        0.512283
   mlp_input.6        0.319439        0.569541        0.195421        0.512182
   mlp_input.5        0.276716        0.621291        0.152909        0.541208
   mlp_input.4        0.395041        0.749087        0.224833        0.662145
   mlp_input.3        0.400347        0.769221        0.217866        0.672700
   mlp_input.2        0.390777        0.774311        0.208562        0.668124
   mlp_input.1        0.322927        0.767668        0.169514        0.643801
   mlp_input.0        0.294824        0.760998        0.145816        0.637152

## qkv -- cos vs truth, per arm (backward order)
          name           eager           fused          shared   shared_upcast
        qkv.27        0.961799        0.727420        0.961482        0.969873
        qkv.26        0.980102        0.866276        0.873925        0.982783
        qkv.25        0.977894        0.915145        0.855605        0.979615
        qkv.24        0.957781        0.712218        0.948282        0.962419
        qkv.23        0.978794        0.790781        0.947465        0.975704
        qkv.22        0.967593        0.871030        0.920493        0.968363
        qkv.21        0.962488        0.499258        0.940455        0.960809
        qkv.20        0.977399        0.685024        0.899693        0.980815
        qkv.19        0.978413        0.950389        0.972230        0.978441
        qkv.18        0.646901        0.795241        0.713174        0.789713
        qkv.17        0.510543        0.906380        0.694047        0.844096
        qkv.16        0.382308        0.933818        0.740258        0.895591
        qkv.15        0.285270        0.912931        0.772777        0.885420
        qkv.14        0.557962        0.826442        0.643398        0.822480
        qkv.13        0.557101        0.712642        0.508874        0.740069
        qkv.12        0.585487        0.647931        0.397822        0.687480
        qkv.11        0.518470        0.619937        0.421329        0.702302
        qkv.10        0.611125        0.704147        0.519102        0.764816
         qkv.9        0.482360        0.603575        0.405885        0.549061
         qkv.8        0.542592        0.657832        0.385159        0.708327
         qkv.7        0.454300        0.647097        0.243593        0.669576
         qkv.6        0.340826        0.562229        0.202063        0.562998
         qkv.5        0.298146        0.625518        0.161836        0.566304
         qkv.4        0.470026        0.744339        0.251984        0.687018
         qkv.3        0.348232        0.737831        0.175159        0.653553
         qkv.2        0.363441        0.800012        0.202515        0.676700
         qkv.1        0.330957        0.774703        0.182702        0.656117
         qkv.0        0.226676        0.771452        0.098680        0.633374

## all-matched relerr
eager            1.1761
fused            0.6848
shared           1.3427
shared_upcast    0.7732
