OBS,DX_CD,DX_DSC
1,A0101,Typhoid meningitis
2,A0102,Typhoid fever with heart involvement
3,A0104,Typhoid arthritis
4,A0105,Typhoid osteomyelitis
5,A021,Salmonella sepsis
6,A0221,Salmonella meningitis
7,A0223,Salmonella arthritis
8,A0224,Salmonella osteomyelitis
9,A064,Amebic liver abscess
10,A065,Amebic lung abscess
11,A066,Amebic brain abscess
12,A072,Cryptosporidiosis
13,A170,Tuberculous meningitis
14,A171,Meningeal tuberculoma
15,A1781,Tuberculoma of brain and spinal cord
16,A1782,Tuberculous meningoencephalitis
17,A1783,Tuberculous neuritis
18,A1789,Other tuberculosis of nervous system
19,A179,"Tuberculosis of nervous system, unspecified"
20,A203,Plague meningitis
21,A207,Septicemic plague
22,A227,Anthrax sepsis
23,A267,Erysipelothrix sepsis
24,A2781,Aseptic meningitis in leptospirosis
25,A310,Pulmonary mycobacterial infection
26,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC)
27,A3211,Listerial meningitis
28,A3212,Listerial meningoencephalitis
29,A327,Listerial sepsis
30,A3282,Listerial endocarditis
31,A34,Obstetrical tetanus
32,A35,Other tetanus
33,A3681,Diphtheritic cardiomyopathy
34,A381,Scarlet fever with myocarditis
35,A390,Meningococcal meningitis
36,A391,Waterhouse-Friderichsen syndrome
37,A392,Acute meningococcemia
38,A393,Chronic meningococcemia
39,A394,"Meningococcemia, unspecified"
40,A3950,"Meningococcal carditis, unspecified"
41,A3951,Meningococcal endocarditis
42,A3952,Meningococcal myocarditis
43,A3953,Meningococcal pericarditis
44,A3981,Meningococcal encephalitis
45,A3983,Meningococcal arthritis
46,A3984,Postmeningococcal arthritis
47,A400,"Sepsis due to streptococcus, group A"
48,A401,"Sepsis due to streptococcus, group B"
49,A403,Sepsis due to Streptococcus pneumoniae
50,A408,Other streptococcal sepsis
51,A409,"Streptococcal sepsis, unspecified"
52,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus
53,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus
54,A411,Sepsis due to other specified staphylococcus
55,A412,Sepsis due to unspecified staphylococcus
56,A413,Sepsis due to Hemophilus influenzae
57,A414,Sepsis due to anaerobes
58,A4150,"Gram-negative sepsis, unspecified"
59,A4151,Sepsis due to Escherichia coli [E. coli]
60,A4152,Sepsis due to Pseudomonas
61,A4153,Sepsis due to Serratia
62,A4154,Sepsis due to Acinetobacter baumannii
63,A4159,Other Gram-negative sepsis
64,A4181,Sepsis due to Enterococcus
65,A4189,Other specified sepsis
66,A419,"Sepsis, unspecified organism"
67,A427,Actinomycotic sepsis
68,A4281,Actinomycotic meningitis
69,A4282,Actinomycotic encephalitis
70,A480,Gas gangrene
71,A481,Legionnaires' disease
72,A483,Toxic shock syndrome
73,A5004,Early congenital syphilitic pneumonia
74,A5040,"Late congenital neurosyphilis, unspecified"
75,A5041,Late congenital syphilitic meningitis
76,A5042,Late congenital syphilitic encephalitis
77,A5043,Late congenital syphilitic polyneuropathy
78,A5044,Late congenital syphilitic optic nerve atrophy
79,A5045,Juvenile general paresis
80,A5049,Other late congenital neurosyphilis
81,A5054,Late congenital cardiovascular syphilis
82,A5055,Late congenital syphilitic arthropathy
83,A5141,Secondary syphilitic meningitis
84,A5200,"Cardiovascular syphilis, unspecified"
85,A5201,Syphilitic aneurysm of aorta
86,A5202,Syphilitic aortitis
87,A5203,Syphilitic endocarditis
88,A5205,Other cerebrovascular syphilis
89,A5206,Other syphilitic heart involvement
90,A5209,Other cardiovascular syphilis
91,A5210,"Symptomatic neurosyphilis, unspecified"
92,A5211,Tabes dorsalis
93,A5212,Other cerebrospinal syphilis
94,A5213,Late syphilitic meningitis
95,A5214,Late syphilitic encephalitis
96,A5215,Late syphilitic neuropathy
97,A5216,Charcot's arthropathy (tabetic)
98,A5217,General paresis
99,A5219,Other symptomatic neurosyphilis
100,A522,Asymptomatic neurosyphilis
101,A523,"Neurosyphilis, unspecified"
102,A5440,"Gonococcal infection of musculoskeletal system, unspecified"
103,A5441,Gonococcal spondylopathy
104,A5442,Gonococcal arthritis
105,A5443,Gonococcal osteomyelitis
106,A5449,Gonococcal infection of other musculoskeletal tissue
107,A5481,Gonococcal meningitis
108,A5482,Gonococcal brain abscess
109,A5483,Gonococcal heart infection
110,A5485,Gonococcal peritonitis
111,A5486,Gonococcal sepsis
112,A666,Bone and joint lesions of yaws
113,A6921,Meningitis due to Lyme disease
114,A6923,Arthritis due to Lyme disease
115,A800,"Acute paralytic poliomyelitis, vaccine-associated"
116,A801,"Acute paralytic poliomyelitis, wild virus, imported"
117,A802,"Acute paralytic poliomyelitis, wild virus, indigenous"
118,A8030,"Acute paralytic poliomyelitis, unspecified"
119,A8039,Other acute paralytic poliomyelitis
120,A804,Acute nonparalytic poliomyelitis
121,A809,"Acute poliomyelitis, unspecified"
122,A820,Sylvatic rabies
123,A821,Urban rabies
124,A829,"Rabies, unspecified"
125,A830,Japanese encephalitis
126,A831,Western equine encephalitis
127,A832,Eastern equine encephalitis
128,A833,St Louis encephalitis
129,A834,Australian encephalitis
130,A835,California encephalitis
131,A836,Rocio virus disease
132,A838,Other mosquito-borne viral encephalitis
133,A839,"Mosquito-borne viral encephalitis, unspecified"
134,A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
135,A841,Central European tick-borne encephalitis
136,A8481,Powassan virus disease
137,A8489,Other tick-borne viral encephalitis
138,A849,"Tick-borne viral encephalitis, unspecified"
139,A850,Enteroviral encephalitis
140,A851,Adenoviral encephalitis
141,A852,"Arthropod-borne viral encephalitis, unspecified"
142,A858,Other specified viral encephalitis
143,A86,Unspecified viral encephalitis
144,A870,Enteroviral meningitis
145,A871,Adenoviral meningitis
146,A872,Lymphocytic choriomeningitis
147,A878,Other viral meningitis
148,A879,"Viral meningitis, unspecified"
149,A880,Enteroviral exanthematous fever [Boston exanthem]
150,A888,Other specified viral infections of central nervous system
151,A89,Unspecified viral infection of central nervous system
152,A922,Venezuelan equine fever
153,A9230,"West Nile virus infection, unspecified"
154,A9231,West Nile virus infection with encephalitis
155,A9232,West Nile virus infection with other neurologic manifestation
156,A9239,West Nile virus infection with other complications
157,B003,Herpesviral meningitis
158,B004,Herpesviral encephalitis
159,B007,Disseminated herpesviral disease
160,B0082,Herpes simplex myelitis
161,B010,Varicella meningitis
162,B0111,Varicella encephalitis and encephalomyelitis
163,B0112,Varicella myelitis
164,B020,Zoster encephalitis
165,B021,Zoster meningitis
166,B0224,Postherpetic myelitis
167,B050,Measles complicated by encephalitis
168,B051,Measles complicated by meningitis
169,B0601,Rubella encephalitis
170,B0602,Rubella meningitis
171,B0682,Rubella arthritis
172,B1001,Human herpesvirus 6 encephalitis
173,B1009,Other human herpesvirus encephalitis
174,B150,Hepatitis A with hepatic coma
175,B160,Acute hepatitis B with delta-agent with hepatic coma
176,B162,Acute hepatitis B without delta-agent with hepatic coma
177,B1711,Acute hepatitis C with hepatic coma
178,B180,Chronic viral hepatitis B with delta-agent
179,B181,Chronic viral hepatitis B without delta-agent
180,B182,Chronic viral hepatitis C
181,B188,Other chronic viral hepatitis
182,B189,"Chronic viral hepatitis, unspecified"
183,B190,Unspecified viral hepatitis with hepatic coma
184,B1911,Unspecified viral hepatitis B with hepatic coma
185,B1921,Unspecified viral hepatitis C with hepatic coma
186,B20,Human immunodeficiency virus [HIV] disease
187,B250,Cytomegaloviral pneumonitis
188,B251,Cytomegaloviral hepatitis
189,B252,Cytomegaloviral pancreatitis
190,B258,Other cytomegaloviral diseases
191,B259,"Cytomegaloviral disease, unspecified"
192,B261,Mumps meningitis
193,B262,Mumps encephalitis
194,B263,Mumps pancreatitis
195,B2682,Mumps myocarditis
196,B2685,Mumps arthritis
197,B2702,Gammaherpesviral mononucleosis with meningitis
198,B2712,Cytomegaloviral mononucleosis with meningitis
199,B2782,Other infectious mononucleosis with meningitis
200,B2792,"Infectious mononucleosis, unspecified with meningitis"
201,B3320,"Viral carditis, unspecified"
202,B3321,Viral endocarditis
203,B3322,Viral myocarditis
204,B3323,Viral pericarditis
205,B3324,Viral cardiomyopathy
206,B371,Pulmonary candidiasis
207,B375,Candidal meningitis
208,B376,Candidal endocarditis
209,B377,Candidal sepsis
210,B3781,Candidal esophagitis
211,B380,Acute pulmonary coccidioidomycosis
212,B381,Chronic pulmonary coccidioidomycosis
213,B382,"Pulmonary coccidioidomycosis, unspecified"
214,B384,Coccidioidomycosis meningitis
215,B390,Acute pulmonary histoplasmosis capsulati
216,B391,Chronic pulmonary histoplasmosis capsulati
217,B392,"Pulmonary histoplasmosis capsulati, unspecified"
218,B400,Acute pulmonary blastomycosis
219,B401,Chronic pulmonary blastomycosis
220,B402,"Pulmonary blastomycosis, unspecified"
221,B4081,Blastomycotic meningoencephalitis
222,B410,Pulmonary paracoccidioidomycosis
223,B4281,Cerebral sporotrichosis
224,B4282,Sporotrichosis arthritis
225,B431,Pheomycotic brain abscess
226,B440,Invasive pulmonary aspergillosis
227,B441,Other pulmonary aspergillosis
228,B442,Tonsillar aspergillosis
229,B447,Disseminated aspergillosis
230,B4481,Allergic bronchopulmonary aspergillosis
231,B4489,Other forms of aspergillosis
232,B449,"Aspergillosis, unspecified"
233,B450,Pulmonary cryptococcosis
234,B451,Cerebral cryptococcosis
235,B452,Cutaneous cryptococcosis
236,B453,Osseous cryptococcosis
237,B457,Disseminated cryptococcosis
238,B458,Other forms of cryptococcosis
239,B459,"Cryptococcosis, unspecified"
240,B460,Pulmonary mucormycosis
241,B461,Rhinocerebral mucormycosis
242,B462,Gastrointestinal mucormycosis
243,B463,Cutaneous mucormycosis
244,B464,Disseminated mucormycosis
245,B465,"Mucormycosis, unspecified"
246,B468,Other zygomycoses
247,B469,"Zygomycosis, unspecified"
248,B484,Penicillosis
249,B488,Other specified mycoses
250,B5741,Meningitis in Chagas' disease
251,B5742,Meningoencephalitis in Chagas' disease
252,B582,Toxoplasma meningoencephalitis
253,B583,Pulmonary toxoplasmosis
254,B5881,Toxoplasma myocarditis
255,B59,Pneumocystosis
256,B6011,Meningoencephalitis due to Acanthamoeba (culbertsoni)
257,B664,Paragonimiasis
258,B671,Echinococcus granulosus infection of lung
259,B9735,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere"
260,C01,Malignant neoplasm of base of tongue
261,C020,Malignant neoplasm of dorsal surface of tongue
262,C021,Malignant neoplasm of border of tongue
263,C022,Malignant neoplasm of ventral surface of tongue
264,C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
265,C024,Malignant neoplasm of lingual tonsil
266,C028,Malignant neoplasm of overlapping sites of tongue
267,C029,"Malignant neoplasm of tongue, unspecified"
268,C030,Malignant neoplasm of upper gum
269,C031,Malignant neoplasm of lower gum
270,C039,"Malignant neoplasm of gum, unspecified"
271,C040,Malignant neoplasm of anterior floor of mouth
272,C041,Malignant neoplasm of lateral floor of mouth
273,C048,Malignant neoplasm of overlapping sites of floor of mouth
274,C049,"Malignant neoplasm of floor of mouth, unspecified"
275,C050,Malignant neoplasm of hard palate
276,C051,Malignant neoplasm of soft palate
277,C052,Malignant neoplasm of uvula
278,C058,Malignant neoplasm of overlapping sites of palate
279,C059,"Malignant neoplasm of palate, unspecified"
280,C060,Malignant neoplasm of cheek mucosa
